gene_id	test_unc_SRR1559191
A1BG	115.3894
A1CF	0.0000
A2BP1	468.2432
A2LD1	48.7805
A2ML1	0.0000
A2M	3794.2305
A4GALT	88.3992
A4GNT	0.0000
AAA1	0.0000
AAAS	1049.6471
AACSL	2580.6611
AACS	668.3174
AADACL2	0.0000
AADACL3	0.0000
AADACL4	0.0000
AADAC	0.9905
AADAT	520.9855
AAGAB	657.4223
AAK1	174.3221
AAMP	2649.4986
AANAT	12.8761
AARS2	197.8457
AARSD1	2187.1982
AARS	1303.4543
AASDHPPT	809.7066
AASDH	181.2554
AASS	140.6463
AATF	1409.1866
AATK	1020.9236
ABAT	593.2896
ABCA10	61.6566
ABCA11P	135.1987
ABCA12	0.7429
ABCA13	0.2476
ABCA17P	59.6756
ABCA1	93.8467
ABCA2	832.9825
ABCA3	1134.8273
ABCA4	9.1618
ABCA5	382.3202
ABCA6	20.3046
ABCA7	53.4852
ABCA8	13.8665
ABCA9	23.0284
ABCB10	393.7105
ABCB11	0.0000
ABCB1	71.0660
ABCB4	9.4094
ABCB5	0.0000
ABCB6	560.3566
ABCB7	244.3977
ABCB8	578.6802
ABCB9	447.1957
ABCC10	288.4734
ABCC11	4.7047
ABCC12	0.0000
ABCC13	0.0000
ABCC1	247.6167
ABCC2	7.9237
ABCC3	57.1995
ABCC4	26.4950
ABCC5	2601.7086
ABCC6P1	0.4952
ABCC6P2	4.2095
ABCC6	14.6094
ABCC8	3.2190
ABCC9	60.9137
ABCD1	607.4037
ABCD2	4.4571
ABCD3	437.0435
ABCD4	884.2392
ABCE1	491.0239
ABCF1	1577.0707
ABCF2	501.4238
ABCF3	1610.4989
ABCG1	338.2444
ABCG2	16.3427
ABCG4	131.7321
ABCG5	5.9428
ABCG8	0.9905
ABHD10	584.8706
ABHD11	450.6624
ABHD12B	13.6189
ABHD12	1041.4758
ABHD13	199.3314
ABHD14A	1816.2684
ABHD14B	1254.9214
ABHD15	36.1520
ABHD1	24.2664
ABHD2	215.4265
ABHD3	202.0552
ABHD4	283.0259
ABHD5	97.3134
ABHD6	234.9882
ABHD8	708.6790
ABI1	676.9840
ABI2	984.5240
ABI3BP	54.9709
ABI3	135.6939
ABL1	529.8997
ABL2	189.4268
ABLIM1	285.5020
ABLIM2	173.8269
ABLIM3	525.4426
ABO	2.2286
ABP1	4.2095
ABRA	4.2095
ABR	119.5989
ABT1	440.0149
ABTB1	1369.3203
ABTB2	35.1616
ACAA1	888.6963
ACAA2	921.3817
ACACA	1614.2132
ACACB	117.1227
ACAD10	726.0121
ACAD11	486.8144
ACAD8	521.2331
ACAD9	853.7823
ACADL	0.4952
ACADM	1012.2570
ACADSB	193.3886
ACADS	469.7289
ACADVL	6007.1809
ACAN	5.4476
ACAP1	70.3231
ACAP2	365.9775
ACAP3	4617.3084
ACAT1	467.0051
ACAT2	1058.3137
ACBD3	811.6875
ACBD4	740.6215
ACBD5	469.2336
ACBD6	623.0036
ACBD7	146.3415
ACCN1	321.1588
ACCN2	607.1561
ACCN3	643.3082
ACCN4	2328.3397
ACCN5	0.0000
ACCSL	0.0000
ACCS	221.6169
ACD	957.7814
ACE2	2.9714
ACER1	1.4857
ACER2	11.6380
ACER3	78.9897
ACE	492.7572
ACHE	3966.5717
ACIN1	2809.4590
ACLY	3675.1269
ACMSD	0.0000
ACN9	455.6147
ACO1	142.1320
ACO2	1002.8476
ACOT11	31.6949
ACOT12	0.7429
ACOT13	144.6081
ACOT1	23.5236
ACOT2	230.7788
ACOT4	4.7047
ACOT6	1.7333
ACOT7	2531.8806
ACOT8	840.4110
ACOT9	258.2642
ACOX1	453.8814
ACOX2	14.8570
ACOX3	167.8841
ACOXL	0.0000
ACP1	2990.7144
ACP2	1377.4916
ACP5	554.9090
ACP6	22.2855
ACPL2	482.8525
ACPP	2.9714
ACPT	0.0000
ACRBP	123.3131
ACRC	68.3422
ACRV1	36.3997
ACR	15.3522
ACSBG1	23.7712
ACSBG2	0.0000
ACSF2	54.7233
ACSF3	36.6473
ACSL1	606.1657
ACSL3	994.1810
ACSL4	503.1571
ACSL5	59.1804
ACSL6	96.5705
ACSM1	0.9905
ACSM2A	0.0000
ACSM2B	0.4952
ACSM3	3.9619
ACSM4	0.0000
ACSM5	14.8570
ACSS1	82.9516
ACSS2	644.7939
ACSS3	10.6475
ACTA1	23.7712
ACTA2	3242.7882
ACTBL2	0.4952
ACTB	57708.8028
ACTC1	15.8475
ACTG1	83900.7057
ACTG2	76.7612
ACTL6A	518.0141
ACTL6B	4362.5108
ACTL7A	0.0000
ACTL7B	0.0000
ACTL8	1.7333
ACTL9	0.0000
ACTN1	735.9168
ACTN2	1062.7708
ACTN3	0.9905
ACTN4	1789.7734
ACTR10	1272.2545
ACTR1A	2804.5066
ACTR1B	2005.9428
ACTR2	1499.0714
ACTR3B	772.3165
ACTR3C	23.7712
ACTR3	1219.5122
ACTR5	212.9504
ACTR6	1690.7268
ACTR8	187.6935
ACTRT1	8.6666
ACTRT2	0.0000
ACVR1B	963.7242
ACVR1C	2.4762
ACVR1	204.2838
ACVR2A	542.5282
ACVR2B	417.9770
ACVRL1	457.8433
ACY1	394.9486
ACY3	2.4762
ACYP1	1577.0707
ACYP2	238.9501
ADAD1	0.0000
ADAD2	0.0000
ADAL	195.1220
ADAM10	317.9398
ADAM11	993.6858
ADAM12	410.7961
ADAM15	809.7066
ADAM17	323.1398
ADAM18	0.7429
ADAM19	259.5023
ADAM20	6.1904
ADAM21P1	2.2286
ADAM21	15.3522
ADAM22	66.6089
ADAM23	76.2659
ADAM28	25.2569
ADAM29	0.0000
ADAM2	0.0000
ADAM30	0.0000
ADAM32	31.4473
ADAM33	24.0188
ADAM3A	0.0000
ADAM5P	0.0000
ADAM6	35.1616
ADAM7	0.0000
ADAM8	208.7409
ADAM9	477.6526
ADAMDEC1	101.0276
ADAMTS10	81.2183
ADAMTS12	19.0665
ADAMTS13	1421.8150
ADAMTS14	25.2569
ADAMTS15	2.4762
ADAMTS16	4.7047
ADAMTS17	29.2188
ADAMTS18	12.1332
ADAMTS19	0.7429
ADAMTS1	87.9039
ADAMTS20	3.7143
ADAMTS2	45.8091
ADAMTS3	10.8951
ADAMTS4	110.1894
ADAMTS5	25.0093
ADAMTS6	9.1618
ADAMTS7	80.7230
ADAMTS8	24.5141
ADAMTS9	170.1127
ADAMTSL1	53.4852
ADAMTSL2	295.4067
ADAMTSL3	9.9047
ADAMTSL4	31.6949
ADAMTSL5	3.7143
ADAP1	273.6164
ADAP2	100.2848
ADARB1	187.9411
ADARB2	1.9809
ADAR	1236.8454
ADAT1	119.3512
ADAT2	145.8462
ADAT3	67.1041
ADA	54.7233
ADCK1	437.0435
ADCK2	825.8017
ADCK4	821.0969
ADCK5	281.0449
ADCY10	1.7333
ADCY1	332.3016
ADCY2	6.1904
ADCY3	391.7296
ADCY4	102.5133
ADCY5	95.8277
ADCY6	840.4110
ADCY7	226.8169
ADCY8	30.9521
ADCY9	137.4273
ADCYAP1R1	125.7893
ADCYAP1	64.6280
ADC	215.4265
ADD1	4335.5206
ADD2	934.5054
ADD3	708.9266
ADH1A	5.4476
ADH1B	40.3615
ADH1C	0.9905
ADH4	0.0000
ADH5	1688.0030
ADH6	5.6952
ADH7	0.0000
ADHFE1	76.5136
ADI1	869.3822
ADIG	0.0000
