gene_id/transcript_id	SJINF053_211_withinKeepPairs
TSPAN6-001	2.0
TSPAN6-002	0.0
TSPAN6-003	0.0
TSPAN6-201	0.0
TSPAN6-202	0.0
TNMD-001	0.0
TNMD-002	0.0
DPM1-005	43.17
DPM1-003	27.41
DPM1-001	217.49
DPM1-004	0.0
DPM1-002	11.93
DPM1-006	0.0
SCYL3-003	265.8
SCYL3-001	370.66
SCYL3-201	59.88
SCYL3-002	92.42
SCYL3-004	15.42
C1orf112-001	35.42
C1orf112-002	144.38
C1orf112-201	87.34
C1orf112-003	189.43
C1orf112-008	0.0
C1orf112-005	4.02
C1orf112-007	4.8
C1orf112-006	34.64
C1orf112-004	13.78
FGR-002	364.59
FGR-004	33.26
FGR-001	42.02
FGR-201	177.31
FGR-007	73.84
FGR-006	0.0
FGR-005	59.98
CFH-002	0.59
CFH-001	2.72
CFH-004	4.96
CFH-005	0.19
CFH-003	0.54
CFH-006	0.0
FUCA2-001	213.73
FUCA2-002	0.0
FUCA2-003	9.28
GCLC-001	566.54
GCLC-012	57.68
GCLC-008	0.0
GCLC-013	0.0
GCLC-007	14.2
GCLC-005	110.21
GCLC-011	43.48
GCLC-009	6.87
GCLC-003	33.09
GCLC-010	1.18
GCLC-006	11.51
GCLC-004	59.25
GCLC-201	0.0
NFYA-001	3239.63
NFYA-002	703.37
STPG1-001	0.0
STPG1-201	276.57
STPG1-002	0.0
STPG1-006	0.0
STPG1-007	2.41
STPG1-004	50.51
STPG1-008	0.0
STPG1-005	0.0
STPG1-009	4.48
STPG1-010	0.0
STPG1-003	5.66
STPG1-011	1.37
NIPAL3-001	2777.11
NIPAL3-005	43.13
NIPAL3-002	14.82
NIPAL3-007	337.91
NIPAL3-004	135.05
NIPAL3-003	10.64
NIPAL3-006	15.33
LAS1L-001	0.0
LAS1L-004	861.2
LAS1L-003	282.91
LAS1L-002	9.0
LAS1L-005	316.89
ENPP4-001	427.0
SEMA3F-001	0.0
SEMA3F-004	30.13
SEMA3F-005	0.0
SEMA3F-010	0.0
SEMA3F-006	0.0
SEMA3F-002	0.0
SEMA3F-003	6.53
SEMA3F-009	1.0
SEMA3F-008	2.34
CFTR-001	0.0
CFTR-005	0.0
CFTR-007	0.0
CFTR-004	0.0
CFTR-002	0.0
CFTR-006	0.0
CFTR-003	0.0
CFTR-008	0.0
CFTR-009	0.0
CFTR-010	0.0
CFTR-011	0.0
ANKIB1-001	2378.4
ANKIB1-006	18.73
ANKIB1-002	356.36
ANKIB1-004	7.38
ANKIB1-003	0.0
ANKIB1-007	63.14
ANKIB1-005	0.0
CYP51A1-001	1075.7
CYP51A1-006	0.0
CYP51A1-005	0.0
CYP51A1-002	387.91
CYP51A1-003	4.36
KRIT1-001	0.0
KRIT1-003	0.0
KRIT1-004	932.75
KRIT1-201	68.45
KRIT1-005	41.65
KRIT1-017	8.73
KRIT1-009	0.0
KRIT1-020	0.0
KRIT1-014	0.0
KRIT1-018	7.1
KRIT1-011	13.5
KRIT1-015	0.0
KRIT1-008	1.77
KRIT1-022	0.0
KRIT1-012	28.41
